OBJID;RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;nufnu_3keV(erg.s-1.cm-2);nufnu_error_3keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
3920;46.201075;0.7359675;6.36e+20;0.8;-999/-999;22772.7;1.48393e-14;4.14936e-15;7.0639200000000006e-15;4.14835e-15;-999.0;1.3750299999999998e-14;6.05533e-15;-999.0;2.0129400000000002e-14;8.8645e-15;-999.0
3921;46.214491666666675;0.742278611111111;6.36e+20;0.8;-999/-999;23079.8;1.46088e-14;4.14936e-15;8.61044e-15;4.52864e-15;-999.0;1.7596e-14;7.0546800000000005e-15;-999.0;1.1042700000000001e-14;6.886790000000001e-15;-999.0
3922;46.221554166666664;0.7589869444444445;6.35e+20;0.8;-999/-999;23555.0;1.18679e-14;3.84075e-15;1.11222e-14;5.45974e-15;-999.0;5.19606e-15;3.82673e-15;-999.0;1.522e-14;8.409200000000001e-15;-999.0
3923;46.197175000000016;0.7017188888888889;6.36e+20;0.8;-999/-999;23203.5;1.76578e-14;4.45672e-15;2.4281599999999998e-14;7.35231e-15;-999.0;8.50929e-15;4.90792e-15;-999.0;8.30099e-15;5.83562e-15;-999.0
3924;46.25357500000001;0.8204369444444445;6.34e+20;0.8;-999/-999;24146.3;1.9598099999999998e-14;4.6076999999999995e-15;1.57101e-14;5.95615e-15;-999.0;1.3122e-14;5.87639e-15;-999.0;2.30544e-14;9.24345e-15;-999.0
3925;46.27044999999998;0.7281555555555556;6.34e+20;0.8;-999/-999;23053.6;1.5543299999999998e-14;4.30052e-15;1.33491e-14;5.63967e-15;-999.0;1.5608700000000003e-14;6.594289999999999e-15;-999.0;9.1405e-15;6.20384e-15;-999.0
3926;46.09817083333334;0.6486627777777777;6.41e+20;0.8;-999/-999;23762.3;1.2401999999999999e-14;3.8472499999999996e-15;1.424e-14;5.8575600000000005e-15;-999.0;1.32659e-14;6.09226e-15;-999.0;7.27745e-15;-1.35307e-11;3.20685e-14
3927;46.2912125;0.8191730555555555;6.32e+20;0.8;-999/-999;24081.0;1.4359299999999998e-14;4.14477e-15;4.54782e-15;3.22361e-15;-999.0;5.3237200000000005e-15;3.77359e-15;-999.0;3.50714e-14;1.2028200000000001e-14;-999.0
3928;46.009695833333325;0.7644422222222222;6.43e+20;1.131;+0.05/-0.05;22444.1;8.479709999999999e-13;2.3402e-14;8.784879999999999e-13;4.0704500000000003e-14;-999.0;1.1113e-12;4.5842e-14;-999.0;7.9315e-13;4.4785900000000004e-14;-999.0
3929;46.043375;0.8728677777777778;6.44e+20;0.8;-999/-999;23387.9;1.36261e-14;4.15854e-15;5.63692e-15;3.776e-15;-999.0;9.83254e-15;5.36826e-15;-999.0;2.3974099999999998e-14;1.03505e-14;-999.0
3930;46.26570000000001;0.6406844444444444;6.34e+20;0.8;-999/-999;14805.0;3.88276e-14;6.75796e-15;8.88676e-15;4.64276e-15;-999.0;4.1556599999999995e-14;1.08536e-14;-999.0;6.08464e-14;1.5891599999999998e-14;-999.0
3931;46.00004583333333;0.8083313888888889;6.44e+20;0.8;-999/-999;21777.6;2.3180000000000002e-14;5.23668e-15;1.59867e-14;6.3029e-15;-999.0;2.2302900000000002e-14;8.01719e-15;-999.0;2.1746799999999998e-14;9.38046e-15;-999.0
3932;46.31810833333333;0.6534763888888889;6.32e+20;0.14400000000000002;+0.26/-0.19;11252.5;9.96221e-14;1.35707e-14;3.52914e-14;8.77422e-15;-999.0;3.46245e-14;1.0428e-14;-999.0;1.40094e-13;2.69176e-14;-999.0
3933;30.599445833333334;-1.1200819444444445;2.47e+20;0.8;-999/-999;1675.0;3.7228800000000003e-13;5.71704e-14;3.80343e-13;7.65452e-14;-999.0;3.2227600000000003e-13;8.51461e-14;-999.0;1.22785e-13;6.65085e-14;-999.0
3934;30.568520833333338;-1.1294586111111111;2.47e+20;0.8;-999/-999;1951.5;6.62904e-14;2.5862799999999997e-14;2.32209e-14;1.9686799999999998e-14;-999.0;1.03278e-13;5.2558000000000006e-14;-999.0;5.2474400000000006e-14;4.4488e-14;-999.0
3935;30.68372499999998;-0.958445;2.46e+20;0.8;-999/-999;1869.3;7.39813e-14;2.8574700000000004e-14;1.0358199999999999e-13;4.48856e-14;-999.0;3.84157e-14;3.42525e-14;-999.0;5.8591e-14;-1.12981e-10;3.88111e-13
3936;-44.95144166666671;0.6247572222222223;5.58e+20;0.8;-999/-999;4146.2;7.8788e-14;2.1046200000000002e-14;6.74617e-14;2.73209e-14;-999.0;0.0;-5.13069e-11;1.8161e-13;1.6208e-13;5.6822900000000006e-14;-999.0
3937;-45.04595416666666;0.6390527777777778;5.72e+20;0.8;-999/-999;4064.1;4.02708e-14;1.6603400000000003e-14;3.46849e-14;-3.33206e-11;1.06874e-13;5.88127e-14;2.9773700000000005e-14;-999.0;5.775560000000001e-14;3.76034e-14;-999.0
3944;3.6277624999999887;-0.7376283333333333;3e+20;0.8;-999/-999;3614.8;4.2829e-14;1.52515e-14;3.8343699999999994e-14;1.91222e-14;-999.0;1.8310900000000002e-14;1.56504e-14;-999.0;5.55149e-14;3.3880300000000006e-14;-999.0
3945;3.5867000000000075;-0.6038288888888889;2.96e+20;0.8;-999/-999;3806.1;5.14933e-14;1.6615200000000002e-14;2.302e-14;1.4483400000000002e-14;-999.0;3.3056199999999996e-14;2.07979e-14;-999.0;1.00189e-13;4.44626e-14;-999.0
3946;19.00092916666665;-0.8664833333333333;4.03e+20;0.8;-999/-999;4805.4;8.320950000000001e-14;1.86472e-14;3.1139e-14;1.5204399999999998e-14;-999.0;1.46224e-13;3.6763099999999997e-14;-999.0;3.13167e-14;2.15562e-14;-999.0
3947;18.841220833333324;-0.8262227777777778;3.91e+20;0.8;-999/-999;4726.9;4.79539e-14;1.4146100000000002e-14;1.7852599999999997e-14;1.12889e-14;-999.0;9.650589999999999e-14;3.05123e-14;-999.0;1.8113999999999997e-14;-5.33813e-11;2.39271e-13
3948;47.458108333333314;1.2267333333333335;5.95e+20;0.8;-999/-999;882.6;9.875449999999999e-14;4.70983e-14;1.3349100000000002e-13;7.686599999999999e-14;-999.0;0.0;-1.1407799999999999e-10;5.263720000000001e-13;1.17341e-13;9.82804e-14;-999.0
3950;49.62202083333332;-0.25311555555555554;5.15e+20;0.8;-999/-999;22674.2;7.440309999999999e-15;2.82055e-15;1.82443e-15;1.9578e-15;-999.0;1.37158e-14;6.13363e-15;-999.0;3.3881700000000004e-15;3.63587e-15;-999.0
3951;49.583304166666665;-0.22438583333333334;5.15e+20;0.8;-999/-999;21439.4;8.24046e-15;2.9690000000000003e-15;6.927889999999999e-15;3.80903e-15;-999.0;5.7869999999999996e-15;3.92976e-15;-999.0;8.57725e-15;5.8245199999999994e-15;-999.0
3957;49.47133333333332;-0.1787536111111111;5.17e+20;0.8;-999/-999;15109.1;4.520069999999999e-14;7.12992e-15;4.03324e-14;9.40215e-15;-999.0;4.03657e-14;1.0719200000000001e-14;-999.0;2.99187e-14;1.12384e-14;-999.0
3958;49.4169;-0.26522805555555556;5.13e+20;0.8;-999/-999;18328.2;2.7582e-14;5.78643e-15;4.50449e-15;3.34711e-15;-999.0;2.8252999999999996e-14;9.09421e-15;-999.0;5.0261e-14;1.4866299999999998e-14;-999.0
3959;49.38653333333332;-0.29586694444444445;4.97e+20;0.235;+0.24/-0.19;13282.1;1.09652e-13;1.445e-14;3.99818e-14;9.4358e-15;-999.0;4.57663e-14;1.25365e-14;-999.0;1.48461e-13;2.89855e-14;-999.0
3960;2.2984624999999994;-0.6159333333333333;3.25e+20;0.8;-999/-999;23126.7;8.27654e-14;7.69065e-15;9.25047e-15;3.4303199999999997e-15;-999.0;1.8247799999999996e-14;5.6866000000000005e-15;-999.0;2.71806e-13;2.75041e-14;-999.0
