,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO
,OBJID_A,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,nufnu_3keV(erg.s-1.cm-2),nufnu_error_3keV(erg.s-1.cm-2),nufnu_0.5keV(erg.s-1.cm-2),nufnu_error_0.5keV(erg.s-1.cm-2),upper_limit_0.5keV(erg.s-1.cm-2),nufnu_1.5keV(erg.s-1.cm-2),nufnu_error_1.5keV(erg.s-1.cm-2),upper_limit_1.5keV(erg.s-1.cm-2),nufnu_4.5keV(erg.s-1.cm-2),nufnu_error_4.5keV(erg.s-1.cm-2),upper_limit_4.5keV(erg.s-1.cm-2),pos_err,OBJID_B,ALPHA_J2000,DELTA_J2000,MAG_AUTO,Reliability,LR,duplicates,duplicates_LR,duplicates_R
40,116.0,-31.377395833333374,0.6203811111111112,5.34e+20,0.8,-999/-999,4588.7,7.00021e-14,1.6421900000000006e-14,2.3067500000000002e-14,1.27159e-14,-999.0,8.57567e-14,2.74897e-14,-999.0,8.455360000000001e-14,3.32264e-14,-999.0,5.0,3438344.0,-31.377396073990326,0.6196430943038724,23.49744415283203,1.0,0.004422263012924031,,,
41,117.0,-31.394162500000053,0.7202902777777778,5.36e+20,0.8,-999/-999,4272.8,1.0352000000000001e-13,2.09132e-14,1.8622200000000002e-14,1.24148e-14,-999.0,1.38232e-13,3.75666e-14,-999.0,1.36275e-13,4.59463e-14,-999.0,5.0,3448473.0,-31.39321992800797,0.7210120052285931,18.75733757019043,1.0,0.0251060780897973,,,
42,121.0,-4.068425000000103,0.3271725,3.35e+20,0.8,-999/-999,7301.5,2.14799e-14,7.8568e-15,5.5813699999999994e-15,5.45127e-15,-999.0,7.814879999999997e-15,7.63272e-15,-999.0,5.89961e-14,2.5431999999999998e-14,-999.0,5.0,6248619.0,-4.069393158281969,0.3270886379271007,23.005878448486328,0.6398303042465725,0.005996467608560549,6248415,0.0033754980028864513,0.3601696957534275
43,123.0,-4.085916666666776,0.3218402777777777,3.35e+20,0.8,-999/-999,7026.6,2.9e-14,9.1195e-15,1.05505e-14,7.42312e-15,-999.0,2.95415e-14,1.45547e-14,-999.0,4.4603e-14,2.19753e-14,-999.0,5.0,6247849.0,-4.085033716884368,0.3216624938665718,24.074670791625977,0.6139490924369908,0.004261890183084654,6247650,0.0026798745912024738,0.38605090756300925
44,125.0,-4.063145833333408,0.27689250000000004,3.35e+20,0.8,-999/-999,7558.1,2.47068e-14,8.418e-15,6.41806e-15,5.86962e-15,-999.0,2.6959199999999998e-14,1.40904e-14,-999.0,4.07041e-14,2.12742e-14,-999.0,5.0,6241668.0,-4.062799684635594,0.2754499449313804,22.040302276611328,0.3943045420983082,0.007567437970176636,6241802;6241647;6241765,0.004732236250849188;0.00330392376824087;0.0035882630273632375,0.2465751626040153;0.1721523392326564;0.18696795606502012
45,126.0,-4.102458333333401,0.3301502777777778,3.35e+20,0.8,-999/-999,7523.0,2.04277e-14,7.7165e-15,3.09424e-14,1.2810599999999999e-14,-999.0,2.2287400000000006e-14,-1.96229e-11,5.718290000000002e-14,1.30881e-14,1.2036499999999999e-14,-999.0,5.0,6250757.0,-4.101413664715096,0.3309656517271547,17.434236526489258,0.6637605218178595,0.041628815282144724,6249123;6249161;6249383,0.004232437828873142;0.00448877859078416;0.012366586587177745,0.06748510912006306;0.0715723952159089;0.19718197384616853
46,127.0,-4.1063875000000385,0.321965,3.35e+20,0.8,-999/-999,7411.2,2.11572e-14,7.7165e-15,1.92414e-14,9.759739999999999e-15,-999.0,8.979250000000002e-15,7.972029999999999e-15,-999.0,2.7114499999999998e-14,1.7191900000000005e-14,-999.0,5.0,6247892.0,-4.1052905866357605,0.32196160339539265,24.10968780517578,0.5000444150190749,0.003973413683723785,6247999,0.003972707829446628,0.49995558498092524
47,128.0,-4.095529166666721,0.2890883333333333,3.35e+20,0.8,-999/-999,7565.2,2.53803e-14,8.418e-15,1.15377e-14,7.6527e-15,-999.0,1.61548e-14,1.07151e-14,-999.0,4.87878e-14,2.28165e-14,-999.0,5.0,6243164.0,-4.0959011816880775,0.2881788700239155,23.45136260986328,0.60394012844959,0.004328138804926525,6243435,0.0028383642986800246,0.39605987155041
48,129.0,-4.053458333333366,0.2605222222222222,3.35e+20,0.8,-999/-999,7536.0,1.9964700000000004e-14,7.7165e-15,7.26241e-15,6.2088900000000006e-15,-999.0,2.0333700000000006e-14,1.25581e-14,-999.0,3.07006e-14,1.89607e-14,-999.0,5.0,6239847.0,-4.0523164806205045,0.25962846796682953,23.75150489807129,1.0,0.004414572607509727,,,
49,130.0,-3.9884666666666817,0.2916255555555555,3.35e+20,0.8,-999/-999,7604.6,1.9642e-14,7.5762e-15,1.78563e-14,9.71383e-15,-999.0,1.25045e-14,9.643590000000001e-15,-999.0,1.88798e-14,1.45603e-14,-999.0,5.0,6244150.0,-3.988528186407677,0.2916076828440997,18.90463638305664,0.862392657064066,0.030124696705318168,6243500,0.004806835304560997,0.13760734293593396
