OBJID;RA;DEC;countrates_0.3-10keV(ph.s-1);countrates_error_0.3-10keV(ph.s-1);exposure_time(s);countrates_0.3-1keV(ph.s-1);countrates_error_0.3-1keV(ph.s-1);upper_limit_0.3-1keV(ph.s-1);countrates_1-2keV(ph.s-1);countrates_error_1-2keV(ph.s-1);upper_limit_1-2keV(ph.s-1);countrates_2-10keV(ph.s-1);countrates_error_2-10keV(ph.s-1);upper_limit_2-10keV(ph.s-1)
4344;-21.653716666666696;0.5399075;0.0017050000000000001;0.00062;6810.9;0.0005684;0.00037200000000000004;-999.0;0.0005684;0.00037200000000000004;-999.0;0.0005684;0.00037200000000000004;-999.0
4345;-21.617070833333344;0.6014833333333333;0.00202;0.0006799999999999999;6136.1;0.0006734;-0.6793;0.002227;0.0006732999999999999;0.000408;-999.0;0.001347;0.0005748999999999999;-999.0
4346;-21.6404541666667;0.38165499999999997;0.0017420000000000003;0.00064;7113.4;0.001452;0.0006016;-999.0;0.0002904;0.00026880000000000003;-999.0;0.0011619999999999998;-0.6394;0.001917
4347;-21.372500000000002;0.4278147222222222;0.0059299999999999995;0.0012;5369.1;0.001483;0.0005859;-999.0;0.002224;0.0007059;-999.0;0.002224;0.0007059;-999.0
4348;-21.368991666666716;0.4070355555555556;0.00414;0.001;5162.3;0.001183;0.0005294;-999.0;0.002365;0.0007647;-999.0;0.0005914;0.00037060000000000006;-999.0
4349;-21.342579166666724;0.5273733333333334;0.01253;0.0019;2744.8;0.005014;0.001216;-999.0;0.005014;0.001216;-999.0;0.002507;0.0008359999999999999;-999.0
4350;-21.731329166666683;0.4945602777777778;0.00555;0.0012;4530.2;0.00555;0.0012;-999.0;0.0022199999999999998;-1.199;0.006114;0.0011099999999999999;-1.199;0.006114
4351;-21.324745833333395;0.44610444444444447;0.1244;0.0059;1008.0;0.06217999999999999;0.004214;-999.0;0.031089999999999996;0.0029879999999999998;-999.0;0.031089999999999996;0.0029879999999999998;-999.0
4369;-16.60721250000006;-1.1163541666666668;0.00307;0.0011;3330.1;0.001228;0.0007187000000000001;-999.0;0.001228;0.0007187000000000001;-999.0;0.0006141;0.0005059999999999999;-999.0
4370;-16.699470833333407;-1.1348377777777778;0.002543;0.0011;3621.6;0.0008476000000000001;0.0006232999999999999;-999.0;0.0008476000000000001;0.0006232999999999999;-999.0;0.0008476000000000001;0.0006232999999999999;-999.0
4371;-24.127837500000055;1.040231111111111;0.004334;0.0011;4324.4;0.0038520000000000004;0.001021;-999.0;0.0;-1.099;0.003184;0.00048150000000000005;0.00036930000000000003;-999.0
4372;-24.374250000000018;1.0416719444444444;0.012329999999999999;0.0021;3919.5;0.004542;0.001283;-999.0;0.004542;0.001283;-999.0;0.0032450000000000005;0.001108;-999.0
4373;1.4785249999999905;-0.41879750000000004;0.00134;0.00045;10104.0;0.0001915;0.0001688;-999.0;0.0009577;0.00037769999999999997;-999.0;0.0001915;0.0001688;-999.0
4374;1.4431833333333373;-0.4048125;0.002571;0.0006;9899.7;0.00019769999999999998;0.00016580000000000002;-999.0;0.0007907999999999999;0.00033160000000000004;-999.0;0.0015810000000000002;0.0004737;-999.0
4375;1.434516666666667;-0.4416652777777778;0.002128;0.00055;10214.3;0.0009666000000000001;0.00036669999999999997;-999.0;0.0003868;0.00023119999999999998;-999.0;0.0007737;0.0003348;-999.0
4376;1.5278666666666538;-0.32196777777777774;0.001084;0.00042;10681.8;0.0003612;0.00024180000000000002;-999.0;0.0003612;0.00024180000000000002;-999.0;0.0003612;0.00024180000000000002;-999.0
4377;1.3907041666666657;-0.4671105555555556;0.003133;0.00066;10179.2;0.001105;0.00040149999999999995;-999.0;0.0009214000000000001;0.000363;-999.0;0.001105;0.00040149999999999995;-999.0
4378;1.3642791666666767;-0.3549061111111111;0.001118;0.00043;10650.3;0.0002236;0.0001942;-999.0;0.0002236;0.0001942;-999.0;0.0006707999999999999;0.00033289999999999996;-999.0
4379;1.4552375000000097;-0.25604166666666667;0.001449;0.00049;10403.2;0.0003623;0.000245;-999.0;0.0003623;0.000245;-999.0;0.0007243999999999999;0.00034419999999999996;-999.0
4380;1.453300000000013;-0.5779155555555555;0.0019100000000000002;0.00056;7889.3;0.00027289999999999997;0.00021840000000000002;-999.0;0.0008189;0.00038080000000000004;-999.0;0.0008189;0.00038080000000000004;-999.0
4381;1.3315833333333273;-0.48354;0.001361;0.00047999999999999996;10268.4;0.0005445000000000001;0.0003035;-999.0;0.0005445000000000001;0.0003035;-999.0;0.0002723;0.00021180000000000003;-999.0
